127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:39 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:39 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:39 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:39 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:39 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:40 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:41 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/index.html HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:42 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
